label,precision,recall,f1-score,support,accuracy
1,0.5714285714285714,0.39215686274509803,0.46511627906976744,51.0,0.40707964601769914
2,0.40625,0.5652173913043478,0.4727272727272727,46.0,0.40707964601769914
3,0.0,0.0,0.0,5.0,0.40707964601769914
4,0.0,0.0,0.0,8.0,0.40707964601769914
5,0.0,0.0,0.0,0.0,0.40707964601769914
6,0.0,0.0,0.0,3.0,0.40707964601769914
7,0.0,0.0,0.0,0.0,0.40707964601769914
micro avg,0.40707964601769914,0.40707964601769914,0.40707964601769914,113.0,0.40707964601769914
macro avg,0.13966836734693877,0.13676775057849228,0.13397765025672,113.0,0.40707964601769914
weighted avg,0.4232774968394437,0.40707964601769914,0.40235738741604143,113.0,0.40707964601769914
