label,precision,recall,f1-score,support,accuracy
1,0.8,0.6,0.6857142857142857,20.0,0.6792452830188679
2,0.6176470588235294,0.875,0.7241379310344829,24.0,0.6792452830188679
3,0.0,0.0,0.0,0.0,0.6792452830188679
4,0.75,0.375,0.5,8.0,0.6792452830188679
5,0.0,0.0,0.0,0.0,0.6792452830188679
6,0.0,0.0,0.0,1.0,0.6792452830188679
7,0.0,0.0,0.0,0.0,0.6792452830188679
micro avg,0.6792452830188679,0.6792452830188679,0.6792452830188679,53.0,0.6792452830188679
macro avg,0.30966386554621855,0.2642857142857143,0.2728360309641098,53.0,0.6792452830188679
weighted avg,0.6947835738068813,0.6792452830188679,0.6621433218700623,53.0,0.6792452830188679
