label,precision,recall,f1-score,support,accuracy
1,0.5423728813559322,0.64,0.5871559633027523,50.0,0.5309734513274337
2,0.5609756097560976,0.5111111111111111,0.5348837209302325,45.0,0.5309734513274337
3,0.0,0.0,0.0,3.0,0.5309734513274337
4,0.5,0.16666666666666666,0.25,6.0,0.5309734513274337
5,0.6,0.42857142857142855,0.5,7.0,0.5309734513274337
6,0.16666666666666666,0.5,0.25,2.0,0.5309734513274337
7,0.0,0.0,0.0,0.0,0.5309734513274337
micro avg,0.5309734513274337,0.5309734513274337,0.5309734513274337,113.0,0.5309734513274337
macro avg,0.3385735939683852,0.32090702947845806,0.30314852631899786,113.0,0.5309734513274337
weighted avg,0.5300520339836667,0.5309734513274337,0.5214828814778592,113.0,0.5309734513274337
