label,precision,recall,f1-score,support,accuracy
1,0.5,0.5217391304347826,0.5106382978723404,23.0,0.4716981132075472
2,0.5454545454545454,0.5714285714285714,0.5581395348837208,21.0,0.4716981132075472
3,0.0,0.0,0.0,2.0,0.4716981132075472
4,0.0,0.0,0.0,4.0,0.4716981132075472
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.4716981132075472
6,0.0,0.0,0.0,0.0,0.4716981132075472
7,0.0,0.0,0.0,0.0,0.4716981132075472
micro avg,0.4716981132075472,0.4716981132075472,0.4716981132075472,53.0,0.4716981132075472
macro avg,0.19696969696969696,0.20378586217095532,0.2003015951556278,53.0,0.4716981132075472
weighted avg,0.45197255574614065,0.4716981132075472,0.46161530346456536,53.0,0.4716981132075472
