label,precision,recall,f1-score,support,accuracy
1,0.5,0.4782608695652174,0.4888888888888889,23.0,0.4339622641509434
2,0.5454545454545454,0.5714285714285714,0.5581395348837208,21.0,0.4339622641509434
3,0.0,0.0,0.0,2.0,0.4339622641509434
4,0.0,0.0,0.0,4.0,0.4339622641509434
5,0.0,0.0,0.0,3.0,0.4339622641509434
6,0.0,0.0,0.0,0.0,0.4339622641509434
7,0.0,0.0,0.0,0.0,0.4339622641509434
micro avg,0.4339622641509434,0.4339622641509434,0.43396226415094347,53.0,0.4339622641509434
macro avg,0.14935064935064934,0.14995563442768414,0.14957548911037283,53.0,0.4339622641509434
weighted avg,0.43310463121783876,0.4339622641509434,0.43330895616986,53.0,0.4339622641509434
