label,precision,recall,f1-score,support,accuracy
1,0.9285714285714286,0.65,0.7647058823529412,20.0,0.7169811320754716
2,0.7096774193548387,0.9166666666666666,0.7999999999999999,24.0,0.7169811320754716
3,0.0,0.0,0.0,0.0,0.7169811320754716
4,0.5,0.375,0.42857142857142855,8.0,0.7169811320754716
5,0.0,0.0,0.0,0.0,0.7169811320754716
6,0.0,0.0,0.0,1.0,0.7169811320754716
7,0.0,0.0,0.0,0.0,0.7169811320754716
micro avg,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0,0.7169811320754716
macro avg,0.3054641211323239,0.2773809523809524,0.28475390156062425,53.0,0.7169811320754716
weighted avg,0.7472393704895226,0.7169811320754716,0.7155224353892501,53.0,0.7169811320754716
