label,precision,recall,f1-score,support,accuracy
1,0.8235294117647058,0.7,0.7567567567567567,20.0,0.7169811320754716
2,0.6774193548387096,0.875,0.7636363636363636,24.0,0.7169811320754716
3,0.0,0.0,0.0,0.0,0.7169811320754716
4,0.75,0.375,0.5,8.0,0.7169811320754716
5,0.0,0.0,0.0,0.0,0.7169811320754716
6,0.0,0.0,0.0,1.0,0.7169811320754716
7,0.0,0.0,0.0,0.0,0.7169811320754716
micro avg,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0,0.7169811320754716
macro avg,0.32156410951477366,0.2785714285714286,0.2886275886275886,53.0,0.7169811320754716
weighted avg,0.7307292971966631,0.7169811320754716,0.7068378841963747,53.0,0.7169811320754716
