label,precision,recall,f1-score,support,accuracy
1,0.6190476190476191,0.5652173913043478,0.5909090909090909,23.0,0.5283018867924528
2,0.4666666666666667,0.6666666666666666,0.5490196078431373,21.0,0.5283018867924528
3,0.0,0.0,0.0,2.0,0.5283018867924528
4,0.0,0.0,0.0,4.0,0.5283018867924528
5,1.0,0.3333333333333333,0.5,3.0,0.5283018867924528
6,0.0,0.0,0.0,0.0,0.5283018867924528
7,0.0,0.0,0.0,0.0,0.5283018867924528
micro avg,0.5283018867924528,0.5283018867924528,0.5283018867924528,53.0,0.5283018867924528
macro avg,0.2979591836734694,0.22360248447204967,0.23427552839317548,53.0,0.5283018867924528
weighted avg,0.5101527403414196,0.5283018867924528,0.5022702048229241,53.0,0.5283018867924528
