label,precision,recall,f1-score,support,accuracy
1,0.5405405405405406,0.8,0.6451612903225806,50.0,0.5309734513274337
2,0.5454545454545454,0.4,0.4615384615384615,45.0,0.5309734513274337
3,0.0,0.0,0.0,3.0,0.5309734513274337
4,0.0,0.0,0.0,6.0,0.5309734513274337
5,0.5,0.2857142857142857,0.36363636363636365,7.0,0.5309734513274337
6,0.0,0.0,0.0,2.0,0.5309734513274337
7,0.0,0.0,0.0,0.0,0.5309734513274337
micro avg,0.5309734513274337,0.5309734513274337,0.5309734513274337,113.0,0.5309734513274337
macro avg,0.22657072657072658,0.2122448979591837,0.21004801649962943,113.0,0.5309734513274337
weighted avg,0.4873670935617838,0.5309734513274337,0.4917942462903924,113.0,0.5309734513274337
