label,precision,recall,f1-score,support,accuracy
1,0.5454545454545454,0.6,0.5714285714285713,20.0,0.5660377358490566
2,0.5769230769230769,0.625,0.6,24.0,0.5660377358490566
3,0.0,0.0,0.0,0.0,0.5660377358490566
4,0.75,0.375,0.5,8.0,0.5660377358490566
5,0.0,0.0,0.0,0.0,0.5660377358490566
6,0.0,0.0,0.0,1.0,0.5660377358490566
7,0.0,0.0,0.0,0.0,0.5660377358490566
micro avg,0.5660377358490566,0.5660377358490566,0.5660377358490566,53.0,0.5660377358490566
macro avg,0.26748251748251745,0.2285714285714286,0.2387755102040816,53.0,0.5660377358490566
weighted avg,0.5802876368914104,0.5660377358490566,0.5628032345013476,53.0,0.5660377358490566
