label,precision,recall,f1-score,support,accuracy
1,0.5652173913043478,0.5652173913043478,0.5652173913043478,23.0,0.5283018867924528
2,0.5384615384615384,0.6666666666666666,0.5957446808510638,21.0,0.5283018867924528
3,0.0,0.0,0.0,2.0,0.5283018867924528
4,0.0,0.0,0.0,4.0,0.5283018867924528
5,1.0,0.3333333333333333,0.5,3.0,0.5283018867924528
6,0.0,0.0,0.0,0.0,0.5283018867924528
7,0.0,0.0,0.0,0.0,0.5283018867924528
micro avg,0.5283018867924528,0.5283018867924528,0.5283018867924528,53.0,0.5283018867924528
macro avg,0.3005255613951266,0.22360248447204967,0.23728029602220163,53.0,0.5283018867924528
weighted avg,0.5152394775036284,0.5283018867924528,0.5096346848655159,53.0,0.5283018867924528
