label,precision,recall,f1-score,support,accuracy
1,0.41025641025641024,0.6956521739130435,0.5161290322580646,23.0,0.3584905660377358
2,0.2,0.09523809523809523,0.12903225806451613,21.0,0.3584905660377358
3,0.0,0.0,0.0,2.0,0.3584905660377358
4,0.0,0.0,0.0,4.0,0.3584905660377358
5,0.5,0.3333333333333333,0.4,3.0,0.3584905660377358
6,0.0,0.0,0.0,0.0,0.3584905660377358
7,0.0,0.0,0.0,0.0,0.3584905660377358
micro avg,0.3584905660377358,0.3584905660377358,0.3584905660377358,53.0,0.3584905660377358
macro avg,0.15860805860805863,0.160603371783496,0.1493087557603687,53.0,0.3584905660377358
weighted avg,0.2855829704886309,0.3584905660377358,0.2977480219111382,53.0,0.3584905660377358
