label,precision,recall,f1-score,support,accuracy
1,0.5666666666666667,0.85,0.68,20.0,0.660377358490566
2,0.9375,0.625,0.75,24.0,0.660377358490566
3,0.0,0.0,0.0,0.0,0.660377358490566
4,0.5,0.375,0.42857142857142855,8.0,0.660377358490566
5,0.0,0.0,0.0,0.0,0.660377358490566
6,0.0,0.0,0.0,1.0,0.660377358490566
7,0.0,0.0,0.0,0.0,0.660377358490566
micro avg,0.660377358490566,0.660377358490566,0.660377358490566,53.0,0.660377358490566
macro avg,0.2863095238095238,0.2642857142857143,0.2655102040816327,53.0,0.660377358490566
weighted avg,0.7138364779874213,0.660377358490566,0.6609164420485176,53.0,0.660377358490566
