label,precision,recall,f1-score,support,accuracy
1,0.48484848484848486,0.6274509803921569,0.5470085470085471,51.0,0.4424778761061947
2,0.4186046511627907,0.391304347826087,0.4044943820224719,46.0,0.4424778761061947
3,0.0,0.0,0.0,5.0,0.4424778761061947
4,0.0,0.0,0.0,8.0,0.4424778761061947
5,0.0,0.0,0.0,0.0,0.4424778761061947
6,0.0,0.0,0.0,3.0,0.4424778761061947
7,0.0,0.0,0.0,0.0,0.4424778761061947
micro avg,0.4424778761061947,0.4424778761061947,0.4424778761061947,113.0,0.4424778761061947
macro avg,0.12906473371589652,0.1455364754597491,0.13592898986157415,113.0,0.4424778761061947
weighted avg,0.3892308555819567,0.4424778761061947,0.4115413935439789,113.0,0.4424778761061947
