label,precision,recall,f1-score,support,accuracy
1,0.4722222222222222,0.7391304347826086,0.5762711864406781,23.0,0.49056603773584906
2,0.5,0.3333333333333333,0.4,21.0,0.49056603773584906
3,0.0,0.0,0.0,2.0,0.49056603773584906
4,0.0,0.0,0.0,4.0,0.49056603773584906
5,1.0,0.6666666666666666,0.8,3.0,0.49056603773584906
6,0.0,0.0,0.0,0.0,0.49056603773584906
7,0.0,0.0,0.0,0.0,0.49056603773584906
micro avg,0.49056603773584906,0.49056603773584906,0.49056603773584906,53.0,0.49056603773584906
macro avg,0.28174603174603174,0.24844720496894407,0.2537530266343826,53.0,0.49056603773584906
weighted avg,0.45964360587002095,0.49056603773584906,0.4538535337384075,53.0,0.49056603773584906
