label,precision,recall,f1-score,support,accuracy
1,0.5,0.782608695652174,0.6101694915254238,23.0,0.5094339622641509
2,0.5294117647058824,0.42857142857142855,0.4736842105263158,21.0,0.5094339622641509
3,0.0,0.0,0.0,2.0,0.5094339622641509
4,0.0,0.0,0.0,4.0,0.5094339622641509
5,0.0,0.0,0.0,3.0,0.5094339622641509
6,0.0,0.0,0.0,0.0,0.5094339622641509
7,0.0,0.0,0.0,0.0,0.5094339622641509
micro avg,0.5094339622641509,0.5094339622641509,0.5094339622641509,53.0,0.5094339622641509
macro avg,0.14705882352941174,0.1730257320319432,0.15483624315024852,53.0,0.5094339622641509
weighted avg,0.4267480577136515,0.5094339622641509,0.4524767306818373,53.0,0.5094339622641509
