label,precision,recall,f1-score,support,accuracy
1,0.65,0.65,0.65,20.0,0.6226415094339622
2,0.6296296296296297,0.7083333333333334,0.6666666666666667,24.0,0.6226415094339622
3,0.0,0.0,0.0,0.0,0.6226415094339622
4,0.6,0.375,0.4615384615384615,8.0,0.6226415094339622
5,0.0,0.0,0.0,0.0,0.6226415094339622
6,0.0,0.0,0.0,1.0,0.6226415094339622
7,0.0,0.0,0.0,0.0,0.6226415094339622
micro avg,0.6226415094339622,0.6226415094339622,0.6226415094339622,53.0,0.6226415094339622
macro avg,0.26851851851851855,0.24761904761904763,0.25402930402930407,53.0,0.6226415094339622
weighted avg,0.6209643605870021,0.6226415094339622,0.6168359941944848,53.0,0.6226415094339622
