label,precision,recall,f1-score,support,accuracy
1,0.5384615384615384,0.6086956521739131,0.5714285714285715,23.0,0.49056603773584906
2,0.5,0.5714285714285714,0.5333333333333333,21.0,0.49056603773584906
3,0.0,0.0,0.0,2.0,0.49056603773584906
4,0.0,0.0,0.0,4.0,0.49056603773584906
5,0.0,0.0,0.0,3.0,0.49056603773584906
6,0.0,0.0,0.0,0.0,0.49056603773584906
7,0.0,0.0,0.0,0.0,0.49056603773584906
micro avg,0.49056603773584906,0.49056603773584906,0.49056603773584906,53.0,0.49056603773584906
macro avg,0.14835164835164832,0.16858917480035493,0.1578231292517007,53.0,0.49056603773584906
weighted avg,0.4317851959361393,0.49056603773584906,0.4592991913746631,53.0,0.49056603773584906
