label,precision,recall,f1-score,support,accuracy
1,0.5285714285714286,0.74,0.6166666666666666,50.0,0.5486725663716814
2,0.5789473684210527,0.4888888888888889,0.5301204819277109,45.0,0.5486725663716814
3,0.0,0.0,0.0,3.0,0.5486725663716814
4,0.5,0.16666666666666666,0.25,6.0,0.5486725663716814
5,0.6666666666666666,0.2857142857142857,0.4,7.0,0.5486725663716814
6,0.0,0.0,0.0,2.0,0.5486725663716814
7,0.0,0.0,0.0,0.0,0.5486725663716814
micro avg,0.5486725663716814,0.5486725663716814,0.5486725663716814,113.0,0.5486725663716814
macro avg,0.32488363766559253,0.24018140589569162,0.25668387837062534,113.0,0.5486725663716814
weighted avg,0.5322820325149156,0.5486725663716814,0.5220243807086754,113.0,0.5486725663716814
