label,precision,recall,f1-score,support,accuracy
1,0.6,0.35294117647058826,0.4444444444444445,51.0,0.39823008849557523
2,0.4153846153846154,0.5869565217391305,0.48648648648648657,46.0,0.39823008849557523
3,0.0,0.0,0.0,5.0,0.39823008849557523
4,0.0,0.0,0.0,8.0,0.39823008849557523
5,0.0,0.0,0.0,0.0,0.39823008849557523
6,0.0,0.0,0.0,3.0,0.39823008849557523
7,0.0,0.0,0.0,0.0,0.39823008849557523
micro avg,0.39823008849557523,0.39823008849557523,0.39823008849557523,113.0,0.39823008849557523
macro avg,0.14505494505494504,0.13427109974424553,0.13299013299013301,113.0,0.39823008849557523
weighted avg,0.43989108236895846,0.39823008849557523,0.39862871721278803,113.0,0.39823008849557523
