label,precision,recall,f1-score,support,accuracy
1,0.7727272727272727,0.85,0.8095238095238095,20.0,0.7169811320754716
2,0.75,0.75,0.75,24.0,0.7169811320754716
3,0.0,0.0,0.0,0.0,0.7169811320754716
4,0.5,0.375,0.42857142857142855,8.0,0.7169811320754716
5,0.0,0.0,0.0,0.0,0.7169811320754716
6,0.0,0.0,0.0,1.0,0.7169811320754716
7,0.0,0.0,0.0,0.0,0.7169811320754716
micro avg,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0,0.7169811320754716
macro avg,0.2889610389610389,0.28214285714285714,0.28401360544217685,53.0,0.7169811320754716
weighted avg,0.7066895368782161,0.7169811320754716,0.7097933513027853,53.0,0.7169811320754716
