label,precision,recall,f1-score,support,accuracy
1,0.5294117647058824,0.7058823529411765,0.6050420168067226,51.0,0.4778761061946903
2,0.47368421052631576,0.391304347826087,0.42857142857142855,46.0,0.4778761061946903
3,0.0,0.0,0.0,5.0,0.4778761061946903
4,0.0,0.0,0.0,8.0,0.4778761061946903
5,0.0,0.0,0.0,0.0,0.4778761061946903
6,0.0,0.0,0.0,3.0,0.4778761061946903
7,0.0,0.0,0.0,0.0,0.4778761061946903
micro avg,0.4778761061946903,0.4778761061946903,0.4778761061946903,113.0,0.4778761061946903
macro avg,0.14329942503317117,0.15674095725246623,0.14765906362545017,113.0,0.4778761061946903
weighted avg,0.431765253842571,0.4778761061946903,0.4475347661188369,113.0,0.4778761061946903
